,fc
BBC3,-1.87060516711002
BCL2A1,6.57602159803637
CASP6,1.00047808397797
CTSS,4.16059924811392
CTSW,-2.51687899385244
DDIT3,-1.16351798888817
EIF2AK3,-1.66124004518036
ENDOG,1.84876425353214
ERN1,-1.1174393169269
IL3RA,-4.0414587470465
MAPK10,-6.71277799793363
NGF,-7.47674970627246
NTRK1,-2.17679834312189
PDPK2P,1.23494814730581
TNFSF10,-1.62210718053429
TUBAL3,6.44511716028653
