,fc
AC003006.1,0.590923435386214
AC003070.2,0.681859242512138
AC003086.1,-1.15601516911668
AC003101.2,-1.12445550950589
AC003102.1,-0.323775155691179
AC003657.1,-3.12131335134269
AC003681.1,-0.483872415274111
AC003957.1,1.05799032366012
AC003991.1,-2.64260287836484
AC004057.1,0.0679427596867311
AC004069.1,1.97187671263307
AC004076.1,0.600376685697201
AC004076.2,-0.223554242613149
AC004079.1,-0.0856829618255986
AC004079.2,-0.749538809303915
AC004079.3,-0.837806637952517
AC004079.4,-0.0725140260429351
AC004079.5,-0.110662553784797
AC004080.1,-5.53510320680416
AC004080.12,-0.601276310021261
AC004080.13,-0.607654950287778
AC004080.14,0.835410926093539
AC004080.15,-0.522735458394391
AC004080.4,-2.82348248292273
AC004080.6,1.39153793974637
AC004080.7,2.00797685177943
AC004080.8,1.57472448393583
AC004112.1,0.454869216502021
AC004158.1,-0.808003861116808
AC004221.1,-0.0878892763896847
AC004223.3,-1.57920670648772
AC004223.4,0.489849247080837
AC004233.2,0.36762536025857
AC004233.3,-0.11696156666557
AC004241.1,-2.20412439646358
AC004241.3,0.715433157835417
AC004241.5,-0.964012701602313
AC004264.1,-1.55881826023073
AC004264.2,-0.7951046228237
AC004386.1,-1.75943145442526
AC004386.3,0.1388920772386
AC004386.7,0.17557569761903
AC004408.1,-23.1894814683441
AC004448.2,-0.333278172369496
AC004453.1,-0.134972682676485
AC004461.1,0.715675743949291
AC004466.1,-1.24038089435141
AC004466.2,-1.52572705322377
AC004470.2,-1.36423110969016
AC004477.1,0.652987237760733
AC004477.3,0.478674480176506
AC004492.1,-1.21440400671377
AC004540.1,1.10267140873972
AC004542.3,-0.828362800828735
AC004542.4,0.0606690422771786
AC004542.5,-0.912585933571972
AC004542.6,0.377119623906489
AC004551.1,0.467620605093717
AC004552.1,0.0493109475069258
AC004584.3,-4.92758821510964
AC004585.1,1.03531754037564
AC004678.1,0.661319242651666
AC004687.2,-3.90103539569659
AC004692.1,1.4091295659963
AC004702.1,-26.5802264649419
AC004784.1,2.08927270007149
AC004797.1,-2.01410037965457
AC004801.1,-0.720015000884769
AC004801.2,0.81459452993619
AC004801.6,-0.110662553784797
AC004803.1,0.10656378477893
AC004812.2,1.29365036035307
AC004816.1,0.100431319072692
AC004816.2,-0.229411904151647
AC004817.2,-3.12131335134269
AC004825.2,0.614494047729741
AC004832.4,-1.96865239165689
AC004832.6,-1.87454497823135
AC004839.1,1.04886020302206
AC004839.2,-2.29678493896426
AC004846.1,-0.777120108689544
AC004854.2,-0.514352100803594
AC004877.1,0.98797145689096
AC004877.2,-1.58991559953757
AC004884.1,-1.54006608655163
AC004890.1,-0.465026981652863
AC004893.1,-0.745404696988624
AC004893.2,-0.0256676639258729
AC004908.1,0.785595602787078
AC004908.2,0.722042299346581
AC004912.1,0.653818708217692
AC004917.1,-2.64023977584623
AC004918.5,-0.422549404299435
AC004923.1,-0.318065122872658
AC004923.4,0.256114063043498
AC004925.1,-1.39873574927857
AC004938.2,0.137546561558888
AC004941.2,-3.16083638425044
AC004943.1,0.712400769932321
AC004943.2,0.12727852335481
AC004943.3,-5.51403648457821
AC004949.1,0.38633721058669
AC004980.1,1.17675452823971
AC004980.2,-0.0139393339311346
AC004997.1,-5.62254670469505
AC005000.1,0.11510329000905
AC005005.1,-2.12256065664295
AC005005.3,0.91952755036676
AC005005.4,-2.01168731023107
AC005014.1,1.26954025737509
AC005020.1,-0.133350492275779
AC005020.2,-0.0671570948323933
AC005034.4,-1.55616660179959
AC005034.6,-0.260701443435686
AC005034.7,0.016342314934705
AC005041.5,-2.96781489552799
AC005046.2,1.69296973549787
AC005070.3,0.331546358511575
AC005076.2,-0.254684177554869
AC005077.4,1.44382327212251
AC005089.1,-2.08580253338224
AC005225.2,1.20157604428579
AC005225.4,-0.254940702298682
AC005229.4,0.363888494280765
AC005237.1,-1.1557748728852
AC005256.1,2.5078527240938
AC005258.1,-1.57930325987522
AC005261.1,0.336043066574081
AC005261.3,-0.994063020559715
AC005261.4,0.689487095792648
AC005261.5,0.3312431491957
AC005280.1,-1.21410410479383
AC005324.3,0.423261161288609
